Index,Concept,Question,Answer,Photo,photo_path
73.0,Bab_al-Nasr_(Cairo),Are inscriptions visible?,"Yes, Kufic.",,/downloaded_images/img_3.jpg
73.0,Bab_al-Nasr_(Cairo),Is it an entrance?,"Yes, entrance gate",,/downloaded_images/img_4.jpg
73.0,Bab_al-Nasr_(Cairo),Is it imposing?,"Yes, massive.",,/downloaded_images/img_5.jpg
73.0,Bab_al-Nasr_(Cairo),Is it Fatimid architecture?,"Yes, Fatimid.",,/downloaded_images/img_6.jpg
73.0,Bab_al-Nasr_(Cairo),Is it a landmark?,"Yes, landmark.",,/downloaded_images/img_7.jpg
73.0,Bab_al-Nasr_(Cairo),Was it for defense?,"Yes, defense.",,/downloaded_images/img_8.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What pharaoh built this?,Seti I.,,/downloaded_images/img_20.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Where is this temple?,"Qurna, West Bank",,/downloaded_images/img_21.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What is its purpose?,Memorial temple.,,/downloaded_images/img_22.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What dynasty is it from?,19th Dynasty,,/downloaded_images/img_23.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Who likely finished it?,Ramesses II,,/downloaded_images/img_24.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Are reliefs well-preserved?,"Partially, yes.",,/downloaded_images/img_25.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What bank is it on?,West Bank,,/downloaded_images/img_26.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is it still intact?,Partially damaged.,,/downloaded_images/img_27.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Was it once a church?,"Yes, Coptic church",,/downloaded_images/img_28.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is artwork quality high?,"Yes, high.",,/downloaded_images/img_29.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What kingdom is it from?,New Kingdom,,/downloaded_images/img_30.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is it often overlooked?,Often overlooked.,,/downloaded_images/img_31.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What is another name?,Temple of Qurna,,/downloaded_images/img_32.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Who was it for?,Seti I,,/downloaded_images/img_33.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is this in Luxor?,West Bank.,,/downloaded_images/img_34.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is it a memorial temple?,"Yes, it is.",,/downloaded_images/img_35.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Does it have pylons?,"Yes, it does.",,/downloaded_images/img_36.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is it a hypostyle hall?,"Yes, it has.",,/downloaded_images/img_37.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What's on the West Bank?,Thebes (Luxor),,/downloaded_images/img_38.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,What's across from Luxor?,West Bank,,/downloaded_images/img_39.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Was it used for shelter?,"Yes, used shelter.",,/downloaded_images/img_40.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is it in Thebes?,West Bank.,,/downloaded_images/img_41.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Does it have chapels?,"Yes, it does.",,/downloaded_images/img_42.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is it in Qurna?,"Yes, in Qurna",,/downloaded_images/img_43.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is this New Kingdom?,"Yes, New Kingdom",,/downloaded_images/img_44.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Does it have courtyards?,"Yes, courtyards.",,/downloaded_images/img_45.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is this temple ancient?,"Yes, ancient.",,/downloaded_images/img_46.JPG
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Is this well-preserved?,Partially preserved.,,/downloaded_images/img_47.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Was it built by Seti?,"Yes, initially.",,/downloaded_images/img_48.jpg
74.0,Mortuary_Temple_of_Seti_I_in_Qurna,Who succeeded Seti I?,Ramesses II,,/downloaded_images/img_49.jpg
75.0,Great_Pyramid_of_Giza,What is this a picture of?,Khufu's tomb,,/downloaded_images/img_87.jpg
75.0,Great_Pyramid_of_Giza,Where is this located?,Giza Necropolis,,/downloaded_images/img_88.jpg
75.0,Great_Pyramid_of_Giza,Who was it built for?,Pharaoh Khufu,,/downloaded_images/img_89.JPG
75.0,Great_Pyramid_of_Giza,What is its main purpose?,Pharaoh's Tomb,,/downloaded_images/img_90.jpg
75.0,Great_Pyramid_of_Giza,What is it made of?,Stone blocks.,,/downloaded_images/img_91.JPG
75.0,Great_Pyramid_of_Giza,How many blocks were used?,2.3 million,,/downloaded_images/img_92.jpg
75.0,Great_Pyramid_of_Giza,Is it a wonder?,"Yes, ancient wonder.",,/downloaded_images/img_93.JPG
75.0,Great_Pyramid_of_Giza,What era is it from?,Old Kingdom.,,/downloaded_images/img_94.jpg
75.0,Great_Pyramid_of_Giza,Is it in Cairo?,Near Cairo.,,/downloaded_images/img_95.JPG
75.0,Great_Pyramid_of_Giza,How tall is it now?,138.8 meters,,/downloaded_images/img_96.jpg
75.0,Great_Pyramid_of_Giza,Is it still standing?,"Yes, standing.",,/downloaded_images/img_97.JPG
75.0,Great_Pyramid_of_Giza,What is inside?,"Chambers, Passages",,/downloaded_images/img_98.jpg
75.0,Great_Pyramid_of_Giza,Was it built by slaves?,Skilled laborers.,,/downloaded_images/img_99.jpg
75.0,Great_Pyramid_of_Giza,Is it very old?,"Yes, very.",,/downloaded_images/img_100.jpg
75.0,Great_Pyramid_of_Giza,Is it world heritage?,"Yes, UNESCO.",,/downloaded_images/img_101.JPG
75.0,Great_Pyramid_of_Giza,Is this in Africa?,"Yes, Egypt.",,/downloaded_images/img_102.jpg
75.0,Great_Pyramid_of_Giza,What shape is it?,Pyramid shape,,/downloaded_images/img_103.jpg
75.0,Great_Pyramid_of_Giza,What is its location called?,Giza Necropolis,,/downloaded_images/img_104.jpg
75.0,Great_Pyramid_of_Giza,Are there other pyramids nearby?,"Yes, subsidiary pyramids.",,/downloaded_images/img_105.jpg
75.0,Great_Pyramid_of_Giza,Is it well-preserved?,"Somewhat, Eroded.",,/downloaded_images/img_106.JPG
76.0,Umm_Kulthum_Museum,What city is the museum in?,"Cairo, Egypt.",,/downloaded_images/img_140.jpg
76.0,Umm_Kulthum_Museum,Who is the museum about?,Umm Kulthum,,/downloaded_images/img_141.JPG
76.0,Umm_Kulthum_Museum,What island is it on?,Roda Island,,/downloaded_images/img_142.jpg
76.0,Umm_Kulthum_Museum,What kind of dresses are displayed?,Stage costumes.,,/downloaded_images/img_143.jpg
76.0,Umm_Kulthum_Museum,What type of musical instrument is there?,Oud,,/downloaded_images/img_144.jpg
76.0,Umm_Kulthum_Museum,What palace is it part of?,Manesterly Palace,,/downloaded_images/img_145.jpg
76.0,Umm_Kulthum_Museum,What is the purpose of the museum?,Showcase Umm Kulthum.,,/downloaded_images/img_146.jpg
76.0,Umm_Kulthum_Museum,What do they showcase?,Her possessions.,,/downloaded_images/img_147.jpg
76.0,Umm_Kulthum_Museum,What kind of recordings are there?,"Concerts, interviews",,/downloaded_images/img_148.jpg
76.0,Umm_Kulthum_Museum,Are fees required?,"Yes, apply.",,/downloaded_images/img_149.jpg
77.0,Wadi_el-Raiyan,What country is this in?,Egypt.,,/downloaded_images/img_162.jpg
77.0,Wadi_el-Raiyan,Are there lakes here?,"Yes, two.",,/downloaded_images/img_163.JPG
77.0,Wadi_el-Raiyan,What are the dunes made of?,Sand dunes.,,/downloaded_images/img_164.jpg
77.0,Wadi_el-Raiyan,Is this a protected area?,Nature Reserve,,/downloaded_images/img_165.jpg
77.0,Wadi_el-Raiyan,What connects the lakes?,Waterfalls.,,/downloaded_images/img_166.jpg
77.0,Wadi_el-Raiyan,Are there birds present?,Migratory birds.,,/downloaded_images/img_162.jpg
77.0,Wadi_el-Raiyan,What kind of reserve is this?,Nature reserve,,/downloaded_images/img_163.JPG
77.0,Wadi_el-Raiyan,Is sandboarding possible here?,"Yes, sandboarding.",,/downloaded_images/img_164.jpg
77.0,Wadi_el-Raiyan,Where is this located?,Fayoum Governorate,,/downloaded_images/img_165.jpg
77.0,Wadi_el-Raiyan,What created these lakes?,Water diversion,,/downloaded_images/img_166.jpg
77.0,Wadi_el-Raiyan,Are gazelles found here?,Yes.,,/downloaded_images/img_162.jpg
77.0,Wadi_el-Raiyan,Is swimming allowed?,"Yes, swimming.",,/downloaded_images/img_163.JPG
77.0,Wadi_el-Raiyan,What governorate is this in?,Fayoum Governorate,,/downloaded_images/img_164.jpg
77.0,Wadi_el-Raiyan,Is this east of Cairo?,"No, Southwest.",,/downloaded_images/img_165.jpg
77.0,Wadi_el-Raiyan,What feeds the lakes?,Agricultural runoff.,,/downloaded_images/img_166.jpg
77.0,Wadi_el-Raiyan,What is the water's source?,Agricultural drainage.,,/downloaded_images/img_162.jpg
77.0,Wadi_el-Raiyan,Is fishing possible?,"Yes, possible.",,/downloaded_images/img_163.JPG
77.0,Wadi_el-Raiyan,What kind of animals live here?,"Gazelles, Foxes",,/downloaded_images/img_164.jpg
77.0,Wadi_el-Raiyan,Are there environmental problems?,"Yes, pollution.",,/downloaded_images/img_165.jpg
77.0,Wadi_el-Raiyan,Is this in the desert?,"Yes, Western",,/downloaded_images/img_166.jpg
77.0,Wadi_el-Raiyan,Are there plant species?,"Yes, plants.",,/downloaded_images/img_162.jpg
77.0,Wadi_el-Raiyan,Is this near Fayoum?,"Yes, in Fayoum.",,/downloaded_images/img_163.JPG
77.0,Wadi_el-Raiyan,Is it for conservation?,Protected area,,/downloaded_images/img_164.jpg
77.0,Wadi_el-Raiyan,What is on the sand?,"Dunes, flora",,/downloaded_images/img_165.jpg
78.0,Al-Shate'e_Mosque,What is this a photo of?,Hypothetical Mosque,,/downloaded_images/img_167.jpg
78.0,Al-Shate'e_Mosque,What possible location is suggested?,Coastal area.,,/downloaded_images/img_168.jpg
78.0,Al-Shate'e_Mosque,"What could ""Shate'e"" mean?",Beach or shore,,/downloaded_images/img_169.jpg
78.0,Al-Shate'e_Mosque,What should you search for?,Variations of name.,,/downloaded_images/img_170.jpg
78.0,Al-Shate'e_Mosque,Where might you check?,Local resources.,,/downloaded_images/img_167.jpg
78.0,Al-Shate'e_Mosque,What kind of websites to avoid?,Unverified websites,,/downloaded_images/img_168.jpg
78.0,Al-Shate'e_Mosque,"What language is ""Shate'e"" from?",Arabic,,/downloaded_images/img_169.jpg
78.0,Al-Shate'e_Mosque,Is it likely well-known?,Probably not.,,/downloaded_images/img_170.jpg
78.0,Al-Shate'e_Mosque,Is a specific location needed?,"Potentially, yes.",,/downloaded_images/img_167.jpg
78.0,Al-Shate'e_Mosque,Could it be newly built?,Possibly Newly Built,,/downloaded_images/img_168.jpg
78.0,Al-Shate'e_Mosque,What is a possible nickname?,Shati Mosque,,/downloaded_images/img_169.jpg
78.0,Al-Shate'e_Mosque,What resource could you contact?,Islamic centers,,/downloaded_images/img_170.jpg
78.0,Al-Shate'e_Mosque,"What might ""Shate'e"" relate to?",Beach or Shore,,/downloaded_images/img_167.jpg
78.0,Al-Shate'e_Mosque,Is online info reliable?,Potentially unreliable.,,/downloaded_images/img_168.jpg
78.0,Al-Shate'e_Mosque,Where could it be located?,Coastal area.,,/downloaded_images/img_169.jpg
78.0,Al-Shate'e_Mosque,What kind of directories to check?,Mosque directories.,,/downloaded_images/img_170.jpg
79.0,Wadi_el_Gemal_National_Park,What is located south of Marsa Alam?,Wadi el-Gemal,,/downloaded_images/img_171.jpg
79.0,Wadi_el_Gemal_National_Park,What year was it established?,2003,,/downloaded_images/img_172.jpg
79.0,Wadi_el_Gemal_National_Park,What is it a hotspot for?,Biodiversity,,/downloaded_images/img_173.JPG
79.0,Wadi_el_Gemal_National_Park,What valley is within the park?,Wadi el-Gemal,,/downloaded_images/img_174.jpg
79.0,Wadi_el_Gemal_National_Park,What type of riverbed is Wadi el-Gemal?,Dry riverbed.,,/downloaded_images/img_175.jpg
79.0,Wadi_el_Gemal_National_Park,What kind of forests are included?,Mangrove forests,,/downloaded_images/img_176.jpg
79.0,Wadi_el_Gemal_National_Park,Are mangrove forests included?,"Yes, included.",,/downloaded_images/img_177.jpg
79.0,Wadi_el_Gemal_National_Park,What range is featured?,Gebel Hamata,,/downloaded_images/img_178.JPG
79.0,Wadi_el_Gemal_National_Park,Who has knowledge of the environment?,Bedouin communities,,/downloaded_images/img_179.jpg
79.0,Wadi_el_Gemal_National_Park,What does it promote?,Sustainable tourism.,,/downloaded_images/img_180.jpg
79.0,Wadi_el_Gemal_National_Park,What is a threat?,Overfishing/Pollution.,,/downloaded_images/img_181.jpg
79.0,Wadi_el_Gemal_National_Park,What is one type of pollution?,Land and sea,,/downloaded_images/img_182.jpg
79.0,Wadi_el_Gemal_National_Park,What affects resource use?,Environmental impact,,/downloaded_images/img_183.jpg
79.0,Wadi_el_Gemal_National_Park,What is an official source?,Egyptian Government.,,/downloaded_images/img_171.jpg
79.0,Wadi_el_Gemal_National_Park,Is information outdated?,"Potentially, yes.",,/downloaded_images/img_172.jpg
79.0,Wadi_el_Gemal_National_Park,What color is the sea?,Red Sea.,,/downloaded_images/img_173.JPG
79.0,Wadi_el_Gemal_National_Park,What kind of tourism?,Sustainable tourism.,,/downloaded_images/img_174.jpg
79.0,Wadi_el_Gemal_National_Park,What ruins are located there?,Roman Ruins,,/downloaded_images/img_175.jpg
79.0,Wadi_el_Gemal_National_Park,What lives in the reefs?,Diverse fish.,,/downloaded_images/img_176.jpg
79.0,Wadi_el_Gemal_National_Park,What kind of communities are supported?,Bedouin communities,,/downloaded_images/img_177.jpg
80.0,Bayt_Al-Suhaymi,What is the building's name?,Bayt Al-Suhaymi,,/downloaded_images/img_184.jpg
80.0,Bayt_Al-Suhaymi,What type of building is this?,Historic house,,/downloaded_images/img_185.JPG
80.0,Bayt_Al-Suhaymi,Where is this house located?,"Cairo, Egypt",,/downloaded_images/img_186.jpg
80.0,Bayt_Al-Suhaymi,What is the main building material?,Stone and wood,,/downloaded_images/img_187.jpg
80.0,Bayt_Al-Suhaymi,What year was the northern section built?,1648,,/downloaded_images/img_188.jpg
80.0,Bayt_Al-Suhaymi,Who added the southern section?,Sheikh Ahmed.,,/downloaded_images/img_189.jpg
80.0,Bayt_Al-Suhaymi,What provides light and ventilation?,Central courtyard,,/downloaded_images/img_190.jpg
80.0,Bayt_Al-Suhaymi,What offers privacy and shade?,Mashrabiya windows,,/downloaded_images/img_191.jpg
80.0,Bayt_Al-Suhaymi,What cools the interior?,Wind catcher.,,/downloaded_images/img_192.jpg
80.0,Bayt_Al-Suhaymi,What are the quarters for men called?,Salamlik.,,/downloaded_images/img_193.JPG
80.0,Bayt_Al-Suhaymi,What are the quarters for women called?,Haramlik.,,/downloaded_images/img_195.jpg
80.0,Bayt_Al-Suhaymi,What era does it represent?,Mamluk and Ottoman,,/downloaded_images/img_196.jpg
80.0,Bayt_Al-Suhaymi,What is it today?,A museum.,,/downloaded_images/img_197.jpg
80.0,Bayt_Al-Suhaymi,Who manages the museum?,Egyptian Ministry.,,/downloaded_images/img_198.jpg
80.0,Bayt_Al-Suhaymi,What city is it in?,"Cairo, Egypt",,/downloaded_images/img_199.jpg
80.0,Bayt_Al-Suhaymi,What is the alley's name?,Darb al-Asfar,,/downloaded_images/img_200.JPG
80.0,Bayt_Al-Suhaymi,What architectural style is showcased?,"Islamic, Ottoman",,/downloaded_images/img_201.jpg
80.0,Bayt_Al-Suhaymi,What type of events are held there?,"Cultural events, workshops.",,/downloaded_images/img_202.jpg
80.0,Bayt_Al-Suhaymi,What kind of designs are present?,"Geometric, Wooden.",,/downloaded_images/img_203.jpg
80.0,Bayt_Al-Suhaymi,What period does it give insight into?,Ottoman Period,,/downloaded_images/img_204.jpg
81.0,Na'ama_Bay,Is this a tourist resort?,"Yes, popular.",,/downloaded_images/img_275.jpg
81.0,Na'ama_Bay,Is it in Egypt?,"Yes, in Egypt.",,/downloaded_images/img_276.jpg
81.0,Na'ama_Bay,What peninsula is it on?,Sinai Peninsula,,/downloaded_images/img_277.jpg
81.0,Na'ama_Bay,Are the waters clear?,"Yes, clear.",,/downloaded_images/img_278.jpg
81.0,Na'ama_Bay,Is the nightlife vibrant?,"Yes, vibrant.",,/downloaded_images/img_279.jpg
81.0,Na'ama_Bay,Can you snorkel there?,"Yes, popular.",,/downloaded_images/img_280.jpg
81.0,Na'ama_Bay,Are there desert safaris?,"Yes, desert safaris",,/downloaded_images/img_281.jpg
81.0,Na'ama_Bay,Are there many hotels?,Tourism Hub,,/downloaded_images/img_282.jpg
81.0,Na'ama_Bay,Is it a major tourism center?,"Yes, considered.",,/downloaded_images/img_283.jpg
81.0,Na'ama_Bay,What sea is nearby?,Red Sea,,/downloaded_images/img_284.jpg
81.0,Na'ama_Bay,Is it well-connected?,"Yes, well-connected.",,/downloaded_images/img_285.jpg
81.0,Na'ama_Bay,Is it a sheltered bay?,"Yes, sheltered.",,/downloaded_images/img_286.jpg
81.0,Na'ama_Bay,Are shops found there?,"Yes, shops.",,/downloaded_images/img_287.jpg
81.0,Na'ama_Bay,Are there security measures?,Often in place.,,/downloaded_images/img_288.jpg
81.0,Na'ama_Bay,Is it near the airport?,Yes.,,/downloaded_images/img_289.jpg
81.0,Na'ama_Bay,Is it for relaxation?,"Yes, offering",,/downloaded_images/img_290.jpg
81.0,Na'ama_Bay,Is diving popular there?,"Yes, diving.",,/downloaded_images/img_291.jpg
81.0,Na'ama_Bay,Are there casinos present?,"Yes, casinos.",,/downloaded_images/img_292.jpg
81.0,Na'ama_Bay,Can you go shopping?,"Yes, shopping.",,/downloaded_images/img_293.jpg
81.0,Na'ama_Bay,Is it a Red Sea spot?,"Yes, Red Sea.",,/downloaded_images/img_294.jpg
82.0,Elephantine,What river is it in?,Nile River,,/downloaded_images/img_341.JPG
82.0,Elephantine,What country is it in?,Egypt.,,/downloaded_images/img_342.jpg
82.0,Elephantine,What period was it important in?,Old Kingdom,,/downloaded_images/img_343.jpg
82.0,Elephantine,Who was Khnum's consort?,Satis,,/downloaded_images/img_344.JPG
82.0,Elephantine,What was measured by the nilometer?,Nile's water level.,,/downloaded_images/img_345.png
82.0,Elephantine,What are the papyri written in?,Aramaic,,/downloaded_images/img_346.jpg
82.0,Elephantine,What god was the Jewish temple for?,Yahweh.,,/downloaded_images/img_347.JPG
82.0,Elephantine,What was it a border town between?,Egypt and Nubia,,/downloaded_images/img_348.png
82.0,Elephantine,Who controlled the trade?,Elephantine (did),,/downloaded_images/img_349.JPG
82.0,Elephantine,What modern governorate is it in?,Aswan Governorate,,/downloaded_images/img_350.JPG
82.0,Elephantine,What kind of god was Khnum?,Ram-headed creator,,/downloaded_images/img_351.jpg
82.0,Elephantine,What kind of town was it?,Border/Religious Town,,/downloaded_images/img_352.jpg
82.0,Elephantine,What period did it begin in?,Predynastic Period,,/downloaded_images/img_353.jpg
82.0,Elephantine,What is being excavated?,Island city.,,/downloaded_images/img_354.jpg
82.0,Elephantine,What cataract is near?,First Cataract,,/downloaded_images/img_355.jpg
82.0,Elephantine,What is Satis goddess of?,Nile's inundation.,,/downloaded_images/img_356.JPG
82.0,Elephantine,Where is it located?,Nile River island,,/downloaded_images/img_357.jpg
82.0,Elephantine,What was found there?,"Papyri, Temples.",,/downloaded_images/img_358.jpg
82.0,Elephantine,What's the island's name?,Elephantine.,,/downloaded_images/img_359.jpg
82.0,Elephantine,What type of documents were found?,Elephantine Papyri,,/downloaded_images/img_360.JPG
83.0,Siwa,What's this place called?,Siwa Oasis,,/downloaded_images/img_363.jpg
83.0,Siwa,Where is Siwa located?,Western Desert,,/downloaded_images/img_364.jpg
83.0,Siwa,What desert is this?,Western Desert,,/downloaded_images/img_365.png
83.0,Siwa,What is grown here?,"Dates, Olives",,/downloaded_images/img_363.jpg
83.0,Siwa,What is the main crop?,Date palms,,/downloaded_images/img_364.jpg
83.0,Siwa,What is extracted here?,"Salt, water.",,/downloaded_images/img_365.png
83.0,Siwa,What famous king visited?,Alexander Great,,/downloaded_images/img_363.jpg
83.0,Siwa,What's the main building material?,Salt mud bricks,,/downloaded_images/img_364.jpg
83.0,Siwa,What kind of tourism is encouraged?,Eco-tourism.,,/downloaded_images/img_365.png
83.0,Siwa,What language is spoken?,Berber dialect.,,/downloaded_images/img_363.jpg
83.0,Siwa,What heritage is present?,Berber heritage,,/downloaded_images/img_364.jpg
83.0,Siwa,What ancient structure is there?,Shali fortress,,/downloaded_images/img_365.png
83.0,Siwa,What is this an example of?,Egyptian oasis.,,/downloaded_images/img_363.jpg
83.0,Siwa,What is a key resource?,"Water, salt.",,/downloaded_images/img_364.jpg
83.0,Siwa,What is a major challenge?,Water management.,,/downloaded_images/img_365.png
83.0,Siwa,What is this area's culture?,Berber traditions,,/downloaded_images/img_363.jpg
83.0,Siwa,What surrounds Siwa?,Western Desert,,/downloaded_images/img_364.jpg
83.0,Siwa,What kind of area is this?,Fertile oasis.,,/downloaded_images/img_365.png
83.0,Siwa,What's found underground?,Water sources.,,/downloaded_images/img_363.jpg
83.0,Siwa,Who visited the Oracle?,Alexander the Great,,/downloaded_images/img_364.jpg
84.0,Colossi_of_Memnon,What pharaoh is depicted?,Amenhotep III,,/downloaded_images/img_366.jpg
84.0,Colossi_of_Memnon,What material are they made of?,Quartzite sandstone,,/downloaded_images/img_367.jpg
84.0,Colossi_of_Memnon,Where are the statues located?,"West Bank, Luxor",,/downloaded_images/img_368.jpg
84.0,Colossi_of_Memnon,What river is nearby?,Nile River,,/downloaded_images/img_369.jpg
84.0,Colossi_of_Memnon,What was nearby in the past?,Mortuary temple,,/downloaded_images/img_370.jpg
84.0,Colossi_of_Memnon,What type of temple was it?,Mortuary temple,,/downloaded_images/img_371.jpg
84.0,Colossi_of_Memnon,What is their pose?,Seated pose.,,/downloaded_images/img_372.jpg
84.0,Colossi_of_Memnon,What happened in 27 BC?,Earthquake.,,/downloaded_images/img_373.jpg
84.0,Colossi_of_Memnon,What did they once do?,Guarded temple.,,/downloaded_images/img_366.jpg
84.0,Colossi_of_Memnon,When did the singing stop?,Septimius Severus,,/downloaded_images/img_367.jpg
84.0,Colossi_of_Memnon,Who repaired the statues?,Septimius Severus,,/downloaded_images/img_368.jpg
84.0,Colossi_of_Memnon,What damaged the statues?,"Earthquakes, floods.",,/downloaded_images/img_369.jpg
84.0,Colossi_of_Memnon,Are they well-preserved?,Heavily weathered.,,/downloaded_images/img_370.jpg
84.0,Colossi_of_Memnon,What do they represent?,Amenhotep III,,/downloaded_images/img_371.jpg
84.0,Colossi_of_Memnon,What kind of site are they?,Landmark site.,,/downloaded_images/img_372.jpg
84.0,Colossi_of_Memnon,What do tourists do there?,Visit statues,,/downloaded_images/img_373.jpg
84.0,Colossi_of_Memnon,What is their significance?,Testament to power.,,/downloaded_images/img_366.jpg
84.0,Colossi_of_Memnon,Are they landmarks?,"Yes, landmarks.",,/downloaded_images/img_367.jpg
84.0,Colossi_of_Memnon,What is their purpose?,Temple guardians.,,/downloaded_images/img_368.jpg
84.0,Colossi_of_Memnon,What is on their knees?,Hands resting.,,/downloaded_images/img_369.jpg
85.0,Pyramid_of_Unas,What's inside the pyramid?,Pyramid Texts,,/downloaded_images/img_374.jpg
85.0,Pyramid_of_Unas,Texts of what kind?,Religious texts,,/downloaded_images/img_375.jpg
85.0,Pyramid_of_Unas,Pharaoh's what dynasty?,Fifth dynasty.,,/downloaded_images/img_376.jpg
85.0,Pyramid_of_Unas,Where is this pyramid?,"Saqqara, Egypt",,/downloaded_images/img_377.jpg
85.0,Pyramid_of_Unas,What texts are inside?,Pyramid Texts,,/downloaded_images/img_378.jpg
85.0,Pyramid_of_Unas,Which pharaoh built this?,Pharaoh Unas,,/downloaded_images/img_379.JPG
85.0,Pyramid_of_Unas,What era pyramid is this?,Old Kingdom.,,/downloaded_images/img_380.jpg
85.0,Pyramid_of_Unas,Where is the location?,"Saqqara, Egypt",,/downloaded_images/img_381.jpg
85.0,Pyramid_of_Unas,What is at Saqqara?,Pyramid of Unas,,/downloaded_images/img_382.jpg
85.0,Pyramid_of_Unas,Was it well-built?,Relatively poor.,,/downloaded_images/img_383.jpg
85.0,Pyramid_of_Unas,Who adopted this practice?,Sixth Dynasty Pharaohs,,/downloaded_images/img_384.JPG
85.0,Pyramid_of_Unas,What influenced later pharaohs?,Pyramid Texts,,/downloaded_images/img_385.jpg
85.0,Pyramid_of_Unas,Texts for what purpose?,Afterlife navigation.,,/downloaded_images/img_386.jpg
85.0,Pyramid_of_Unas,What's at Memphis University?,Egyptian Art.,,/downloaded_images/img_387.jpg
