,Index,Concept,Category,Question,Answer
96,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Is sandboarding possible here?,"Yes, sandboarding."
97,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Where is this located?,Fayoum Governorate
98,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What created these lakes?,Water diversion
99,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Are gazelles found here?,Yes.
100,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Is swimming allowed?,"Yes, swimming."
101,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What governorate is this in?,Fayoum Governorate
102,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Is this east of Cairo?,"No, Southwest."
103,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What feeds the lakes?,Agricultural runoff.
104,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What is the water's source?,Agricultural drainage.
105,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Is fishing possible?,"Yes, possible."
106,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What kind of animals live here?,"Gazelles, Foxes"
107,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Are there environmental problems?,"Yes, pollution."
108,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Is this in the desert?,"Yes, Western"
109,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Are there plant species?,"Yes, plants."
110,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Is this near Fayoum?,"Yes, in Fayoum."
111,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,Is it for conservation?,Protected area
112,77,Wadi_el-Raiyan,Natural scenery and Ecosystem,What is on the sand?,"Dunes, flora"
113,78,Al-Shate'e_Mosque,Religion and belief,What is this a photo of?,Hypothetical Mosque
114,78,Al-Shate'e_Mosque,Religion and belief,What possible location is suggested?,Coastal area.
115,78,Al-Shate'e_Mosque,Religion and belief,"What could ""Shate'e"" mean?",Beach or shore
116,78,Al-Shate'e_Mosque,Religion and belief,What should you search for?,Variations of name.
117,78,Al-Shate'e_Mosque,Religion and belief,Where might you check?,Local resources.
118,78,Al-Shate'e_Mosque,Religion and belief,What kind of websites to avoid?,Unverified websites
119,78,Al-Shate'e_Mosque,Religion and belief,"What language is ""Shate'e"" from?",Arabic
120,78,Al-Shate'e_Mosque,Religion and belief,Is it likely well-known?,Probably not.
121,78,Al-Shate'e_Mosque,Religion and belief,Is a specific location needed?,"Potentially, yes."
122,78,Al-Shate'e_Mosque,Religion and belief,Could it be newly built?,Possibly Newly Built
123,78,Al-Shate'e_Mosque,Religion and belief,What is a possible nickname?,Shati Mosque
124,78,Al-Shate'e_Mosque,Religion and belief,What resource could you contact?,Islamic centers
125,78,Al-Shate'e_Mosque,Religion and belief,"What might ""Shate'e"" relate to?",Beach or Shore
126,78,Al-Shate'e_Mosque,Religion and belief,Is online info reliable?,Potentially unreliable.
127,78,Al-Shate'e_Mosque,Religion and belief,Where could it be located?,Coastal area.
128,78,Al-Shate'e_Mosque,Religion and belief,What kind of directories to check?,Mosque directories.
129,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What is located south of Marsa Alam?,Wadi el-Gemal
130,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What year was it established?,2003
131,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What is it a hotspot for?,Biodiversity
132,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What valley is within the park?,Wadi el-Gemal
133,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What type of riverbed is Wadi el-Gemal?,Dry riverbed.
134,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What kind of forests are included?,Mangrove forests
135,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,Are mangrove forests included?,"Yes, included."
136,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What range is featured?,Gebel Hamata
137,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,Who has knowledge of the environment?,Bedouin communities
138,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What does it promote?,Sustainable tourism.
139,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What is a threat?,Overfishing/Pollution.
140,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What is one type of pollution?,Land and sea
141,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What affects resource use?,Environmental impact
142,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What is an official source?,Egyptian Government.
143,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,Is information outdated?,"Potentially, yes."
144,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What color is the sea?,Red Sea.
145,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What kind of tourism?,Sustainable tourism.
146,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What ruins are located there?,Roman Ruins
147,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What lives in the reefs?,Diverse fish.
148,79,Wadi_el_Gemal_National_Park,Natural scenery and Ecosystem,What kind of communities are supported?,Bedouin communities
149,80,Bayt_Al-Suhaymi,Famous Landmarks,What is the building's name?,Bayt Al-Suhaymi
150,80,Bayt_Al-Suhaymi,Famous Landmarks,What type of building is this?,Historic house
151,80,Bayt_Al-Suhaymi,Famous Landmarks,Where is this house located?,"Cairo, Egypt"
152,80,Bayt_Al-Suhaymi,Famous Landmarks,What is the main building material?,Stone and wood
153,80,Bayt_Al-Suhaymi,Famous Landmarks,What year was the northern section built?,1648
154,80,Bayt_Al-Suhaymi,Famous Landmarks,Who added the southern section?,Sheikh Ahmed.
155,80,Bayt_Al-Suhaymi,Famous Landmarks,What provides light and ventilation?,Central courtyard
156,80,Bayt_Al-Suhaymi,Famous Landmarks,What offers privacy and shade?,Mashrabiya windows
157,80,Bayt_Al-Suhaymi,Famous Landmarks,What cools the interior?,Wind catcher.
158,80,Bayt_Al-Suhaymi,Famous Landmarks,What are the quarters for men called?,Salamlik.
159,80,Bayt_Al-Suhaymi,Famous Landmarks,What are the quarters for women called?,Haramlik.
160,80,Bayt_Al-Suhaymi,Famous Landmarks,What era does it represent?,Mamluk and Ottoman
161,80,Bayt_Al-Suhaymi,Famous Landmarks,What is it today?,A museum.
162,80,Bayt_Al-Suhaymi,Famous Landmarks,Who manages the museum?,Egyptian Ministry.
163,80,Bayt_Al-Suhaymi,Famous Landmarks,What city is it in?,"Cairo, Egypt"
164,80,Bayt_Al-Suhaymi,Famous Landmarks,What is the alley's name?,Darb al-Asfar
165,80,Bayt_Al-Suhaymi,Famous Landmarks,What architectural style is showcased?,"Islamic, Ottoman"
166,80,Bayt_Al-Suhaymi,Famous Landmarks,What type of events are held there?,"Cultural events, workshops."
167,80,Bayt_Al-Suhaymi,Famous Landmarks,What kind of designs are present?,"Geometric, Wooden."
168,80,Bayt_Al-Suhaymi,Famous Landmarks,What period does it give insight into?,Ottoman Period
169,81,Na'ama_Bay,Famous Landmarks,Is this a tourist resort?,"Yes, popular."
170,81,Na'ama_Bay,Famous Landmarks,Is it in Egypt?,"Yes, in Egypt."
171,81,Na'ama_Bay,Famous Landmarks,What peninsula is it on?,Sinai Peninsula
172,81,Na'ama_Bay,Famous Landmarks,Are the waters clear?,"Yes, clear."
173,81,Na'ama_Bay,Famous Landmarks,Is the nightlife vibrant?,"Yes, vibrant."
174,81,Na'ama_Bay,Famous Landmarks,Can you snorkel there?,"Yes, popular."
175,81,Na'ama_Bay,Famous Landmarks,Are there desert safaris?,"Yes, desert safaris"
176,81,Na'ama_Bay,Famous Landmarks,Are there many hotels?,Tourism Hub
177,81,Na'ama_Bay,Famous Landmarks,Is it a major tourism center?,"Yes, considered."
178,81,Na'ama_Bay,Famous Landmarks,What sea is nearby?,Red Sea
179,81,Na'ama_Bay,Famous Landmarks,Is it well-connected?,"Yes, well-connected."
180,81,Na'ama_Bay,Famous Landmarks,Is it a sheltered bay?,"Yes, sheltered."
181,81,Na'ama_Bay,Famous Landmarks,Are shops found there?,"Yes, shops."
182,81,Na'ama_Bay,Famous Landmarks,Are there security measures?,Often in place.
183,81,Na'ama_Bay,Famous Landmarks,Is it near the airport?,Yes.
184,81,Na'ama_Bay,Famous Landmarks,Is it for relaxation?,"Yes, offering"
185,81,Na'ama_Bay,Famous Landmarks,Is diving popular there?,"Yes, diving."
186,81,Na'ama_Bay,Famous Landmarks,Are there casinos present?,"Yes, casinos."
187,81,Na'ama_Bay,Famous Landmarks,Can you go shopping?,"Yes, shopping."
188,81,Na'ama_Bay,Famous Landmarks,Is it a Red Sea spot?,"Yes, Red Sea."
189,82,Elephantine,Famous Landmarks,What river is it in?,Nile River
190,82,Elephantine,Famous Landmarks,What country is it in?,Egypt.
191,82,Elephantine,Famous Landmarks,What period was it important in?,Old Kingdom
192,82,Elephantine,Famous Landmarks,Who was Khnum's consort?,Satis
193,82,Elephantine,Famous Landmarks,What was measured by the nilometer?,Nile's water level.
194,82,Elephantine,Famous Landmarks,What are the papyri written in?,Aramaic
195,82,Elephantine,Famous Landmarks,What god was the Jewish temple for?,Yahweh.
196,82,Elephantine,Famous Landmarks,What was it a border town between?,Egypt and Nubia
197,82,Elephantine,Famous Landmarks,Who controlled the trade?,Elephantine (did)
198,82,Elephantine,Famous Landmarks,What modern governorate is it in?,Aswan Governorate
199,82,Elephantine,Famous Landmarks,What kind of god was Khnum?,Ram-headed creator
200,82,Elephantine,Famous Landmarks,What kind of town was it?,Border/Religious Town
201,82,Elephantine,Famous Landmarks,What period did it begin in?,Predynastic Period
202,82,Elephantine,Famous Landmarks,What is being excavated?,Island city.
203,82,Elephantine,Famous Landmarks,What cataract is near?,First Cataract
204,82,Elephantine,Famous Landmarks,What is Satis goddess of?,Nile's inundation.
205,82,Elephantine,Famous Landmarks,Where is it located?,Nile River island
206,82,Elephantine,Famous Landmarks,What was found there?,"Papyri, Temples."
207,82,Elephantine,Famous Landmarks,What's the island's name?,Elephantine.
208,82,Elephantine,Famous Landmarks,What type of documents were found?,Elephantine Papyri
209,83,Siwa,Famous Landmarks,What's this place called?,Siwa Oasis
210,83,Siwa,Famous Landmarks,Where is Siwa located?,Western Desert
211,83,Siwa,Famous Landmarks,What desert is this?,Western Desert
212,83,Siwa,Famous Landmarks,What is grown here?,"Dates, Olives"
213,83,Siwa,Famous Landmarks,What is the main crop?,Date palms
214,83,Siwa,Famous Landmarks,What is extracted here?,"Salt, water."
215,83,Siwa,Famous Landmarks,What famous king visited?,Alexander Great
216,83,Siwa,Famous Landmarks,What's the main building material?,Salt mud bricks
217,83,Siwa,Famous Landmarks,What kind of tourism is encouraged?,Eco-tourism.
218,83,Siwa,Famous Landmarks,What language is spoken?,Berber dialect.
219,83,Siwa,Famous Landmarks,What heritage is present?,Berber heritage
220,83,Siwa,Famous Landmarks,What ancient structure is there?,Shali fortress
221,83,Siwa,Famous Landmarks,What is this an example of?,Egyptian oasis.
222,83,Siwa,Famous Landmarks,What is a key resource?,"Water, salt."
223,83,Siwa,Famous Landmarks,What is a major challenge?,Water management.
224,83,Siwa,Famous Landmarks,What is this area's culture?,Berber traditions
225,83,Siwa,Famous Landmarks,What surrounds Siwa?,Western Desert
226,83,Siwa,Famous Landmarks,What kind of area is this?,Fertile oasis.
227,83,Siwa,Famous Landmarks,What's found underground?,Water sources.
228,83,Siwa,Famous Landmarks,Who visited the Oracle?,Alexander the Great
229,84,Colossi_of_Memnon,Famous Landmarks,What pharaoh is depicted?,Amenhotep III
230,84,Colossi_of_Memnon,Famous Landmarks,What material are they made of?,Quartzite sandstone
231,84,Colossi_of_Memnon,Famous Landmarks,Where are the statues located?,"West Bank, Luxor"
232,84,Colossi_of_Memnon,Famous Landmarks,What river is nearby?,Nile River
233,84,Colossi_of_Memnon,Famous Landmarks,What was nearby in the past?,Mortuary temple
234,84,Colossi_of_Memnon,Famous Landmarks,What type of temple was it?,Mortuary temple
235,84,Colossi_of_Memnon,Famous Landmarks,What is their pose?,Seated pose.
236,84,Colossi_of_Memnon,Famous Landmarks,What happened in 27 BC?,Earthquake.
237,84,Colossi_of_Memnon,Famous Landmarks,What did they once do?,Guarded temple.
238,84,Colossi_of_Memnon,Famous Landmarks,When did the singing stop?,Septimius Severus
239,84,Colossi_of_Memnon,Famous Landmarks,Who repaired the statues?,Septimius Severus
240,84,Colossi_of_Memnon,Famous Landmarks,What damaged the statues?,"Earthquakes, floods."
241,84,Colossi_of_Memnon,Famous Landmarks,Are they well-preserved?,Heavily weathered.
242,84,Colossi_of_Memnon,Famous Landmarks,What do they represent?,Amenhotep III
243,84,Colossi_of_Memnon,Famous Landmarks,What kind of site are they?,Landmark site.
244,84,Colossi_of_Memnon,Famous Landmarks,What do tourists do there?,Visit statues
245,84,Colossi_of_Memnon,Famous Landmarks,What is their significance?,Testament to power.
246,84,Colossi_of_Memnon,Famous Landmarks,Are they landmarks?,"Yes, landmarks."
247,84,Colossi_of_Memnon,Famous Landmarks,What is their purpose?,Temple guardians.
248,84,Colossi_of_Memnon,Famous Landmarks,What is on their knees?,Hands resting.
249,85,Pyramid_of_Unas,Famous Landmarks,What's inside the pyramid?,Pyramid Texts
250,85,Pyramid_of_Unas,Famous Landmarks,Texts of what kind?,Religious texts
251,85,Pyramid_of_Unas,Famous Landmarks,Pharaoh's what dynasty?,Fifth dynasty.
252,85,Pyramid_of_Unas,Famous Landmarks,Where is this pyramid?,"Saqqara, Egypt"
253,85,Pyramid_of_Unas,Famous Landmarks,What texts are inside?,Pyramid Texts
254,85,Pyramid_of_Unas,Famous Landmarks,Which pharaoh built this?,Pharaoh Unas
255,85,Pyramid_of_Unas,Famous Landmarks,What era pyramid is this?,Old Kingdom.
256,85,Pyramid_of_Unas,Famous Landmarks,Where is the location?,"Saqqara, Egypt"
257,85,Pyramid_of_Unas,Famous Landmarks,What is at Saqqara?,Pyramid of Unas
258,85,Pyramid_of_Unas,Famous Landmarks,Was it well-built?,Relatively poor.
259,85,Pyramid_of_Unas,Famous Landmarks,Who adopted this practice?,Sixth Dynasty Pharaohs
260,85,Pyramid_of_Unas,Famous Landmarks,What influenced later pharaohs?,Pyramid Texts
261,85,Pyramid_of_Unas,Famous Landmarks,Texts for what purpose?,Afterlife navigation.
262,85,Pyramid_of_Unas,Famous Landmarks,What's at Memphis University?,Egyptian Art.
263,85,Pyramid_of_Unas,Famous Landmarks,Quality of construction?,Declining/Ruinous State
264,85,Pyramid_of_Unas,Famous Landmarks,What kind of stone used?,Tura limestone
265,85,Pyramid_of_Unas,Famous Landmarks,What is mostly destroyed?,Valley temple.
266,85,Pyramid_of_Unas,Famous Landmarks,Was it large scale?,No. Smaller.
267,85,Pyramid_of_Unas,Famous Landmarks,What is near the Pyramid?,Step Pyramid
268,85,Pyramid_of_Unas,Famous Landmarks,Is this historically crucial?,"Yes, Crucially Significant"
269,85,Pyramid_of_Unas,Famous Landmarks,Inside what Necropolis?,Saqqara necropolis
270,85,Pyramid_of_Unas,Famous Landmarks,How many words maximum?,Two-three words
271,85,Pyramid_of_Unas,Famous Landmarks,What is crucial knowledge?,Afterlife beliefs
272,85,Pyramid_of_Unas,Famous Landmarks,What's this pyramid's state?,Ruinous state
273,85,Pyramid_of_Unas,Famous Landmarks,Texts about what beliefs?,Afterlife beliefs.
274,85,Pyramid_of_Unas,Famous Landmarks,What dynasty is Unas?,Fifth Dynasty
275,85,Pyramid_of_Unas,Famous Landmarks,Texts are precursor to what?,Coffin Texts
276,85,Pyramid_of_Unas,Famous Landmarks,What's the pyramid's name?,Pyramid of Unas
277,85,Pyramid_of_Unas,Famous Landmarks,Texts on death and what?,"Resurrection, Afterlife."
278,85,Pyramid_of_Unas,Famous Landmarks,Where to find info?,Metropolitan Museum
279,85,Pyramid_of_Unas,Famous Landmarks,Texts help navigate what?,Afterlife.
280,85,Pyramid_of_Unas,Famous Landmarks,What's in ruinous state?,The pyramid.
281,85,Pyramid_of_Unas,Famous Landmarks,Who is Zahi?,Egyptologist Author
282,85,Pyramid_of_Unas,Famous Landmarks,Was quality high?,"No, declined."
283,85,Pyramid_of_Unas,Famous Landmarks,Texts about resurrection?,Pyramid Texts
284,85,Pyramid_of_Unas,Famous Landmarks,What happened to temple?,Mostly destroyed.
285,85,Pyramid_of_Unas,Famous Landmarks,Who is Mark?,Egyptologist/Author.
286,85,Pyramid_of_Unas,Famous Landmarks,Who is Edwards?,Egyptologist author
287,85,Pyramid_of_Unas,Famous Landmarks,Who searches JSTOR?,Researchers/Scholars
288,85,Pyramid_of_Unas,Famous Landmarks,Which pharaoh constructed it?,Pharaoh Unas
289,85,Pyramid_of_Unas,Famous Landmarks,This pyramid is for who?,Pharaoh Unas
290,85,Pyramid_of_Unas,Famous Landmarks,What's at the Met?,Egyptian art.
291,86,Cairo_Citadel,Famous Landmarks,What city is this?,"Cairo, Egypt."
292,86,Cairo_Citadel,Famous Landmarks,Who started construction?,Saladin (Salah al-Din)
293,86,Cairo_Citadel,Famous Landmarks,What is this place called?,Cairo Citadel
294,86,Cairo_Citadel,Famous Landmarks,What is the building material of the prominent mosque?,Alabaster (Mosque)
295,86,Cairo_Citadel,Famous Landmarks,What is the Citadel on?,Muqattam Hill
296,86,Cairo_Citadel,Famous Landmarks,What century did Saladin begin construction?,12th century
297,86,Cairo_Citadel,Famous Landmarks,What is this a part of?,Historic Cairo
298,86,Cairo_Citadel,Famous Landmarks,What type of structure is this?,Fortified complex
299,86,Cairo_Citadel,Famous Landmarks,What hill is it on?,Muqattam Hill
300,86,Cairo_Citadel,Famous Landmarks,Is this a modern structure?,No.
301,86,Cairo_Citadel,Famous Landmarks,Is this inside or outside?,Outside.
302,86,Cairo_Citadel,Famous Landmarks,What style is the main mosque?,Ottoman-style
303,86,Cairo_Citadel,Famous Landmarks,What dynasty ruled from here?,Ayyubid to Muhammad Ali
304,86,Cairo_Citadel,Famous Landmarks,What is its modern use?,Tourist attraction
305,86,Cairo_Citadel,Famous Landmarks,What museum is inside?,Military Museum
306,86,Cairo_Citadel,Famous Landmarks,Is it a fort?,"Yes, Fortified complex."
