,Index,Concept,Question,Answer
272,103.0,Egyptian_Museum_(Cairo),What Cultural Category does the object in the image belong to,Historical Artifacts
273,103.0,Egyptian_Museum_(Cairo),What object type,
274,103.0,Egyptian_Museum_(Cairo),Which era dates,
275,103.0,Egyptian_Museum_(Cairo),Which civilization made,
276,103.0,Egyptian_Museum_(Cairo),What material crafted,
277,103.0,Egyptian_Museum_(Cairo),Which purpose served,
278,103.0,Egyptian_Museum_(Cairo),What inscription reads,
279,103.0,Egyptian_Museum_(Cairo),What decorative motif,
280,103.0,Egyptian_Museum_(Cairo),Which museum houses,
281,103.0,Egyptian_Museum_(Cairo),When discovered,
282,103.0,Egyptian_Museum_(Cairo),What condition status,
283,104.0,Saint_George_Church_in_Coptic_Cairo,What Cultural Category does the object in the image belong to,Religion and belief
284,104.0,Saint_George_Church_in_Coptic_Cairo,Which religion represented,
285,104.0,Saint_George_Church_in_Coptic_Cairo,Which deity worshipped,
286,104.0,Saint_George_Church_in_Coptic_Cairo,What ritual performed,
287,104.0,Saint_George_Church_in_Coptic_Cairo,Which ceremony type,
288,104.0,Saint_George_Church_in_Coptic_Cairo,What offering present,
289,104.0,Saint_George_Church_in_Coptic_Cairo,Which religious symbol,
290,104.0,Saint_George_Church_in_Coptic_Cairo,What scripture shown,
291,104.0,Saint_George_Church_in_Coptic_Cairo,Which holy place,
292,104.0,Saint_George_Church_in_Coptic_Cairo,What architectural style,
293,104.0,Saint_George_Church_in_Coptic_Cairo,Which festival shown,
294,105.0,Red_Pyramid,What Cultural Category does the object in the image belong to,Famous Landmarks
295,105.0,Red_Pyramid,Where exactly located,
296,105.0,Red_Pyramid,When established,
297,105.0,Red_Pyramid,Who built it,
298,105.0,Red_Pyramid,Which ruler commissioned,
299,105.0,Red_Pyramid,Which architectural style,
300,105.0,Red_Pyramid,What original name,
301,105.0,Red_Pyramid,What primary material,
302,105.0,Red_Pyramid,What purpose served,
303,106.0,El_Ferdan_Railway_Bridge,What Cultural Category does the object in the image belong to,Famous Landmarks
304,106.0,El_Ferdan_Railway_Bridge,Where exactly located,
305,106.0,El_Ferdan_Railway_Bridge,When established,
306,106.0,El_Ferdan_Railway_Bridge,Who built it,
307,106.0,El_Ferdan_Railway_Bridge,Which ruler commissioned,
308,106.0,El_Ferdan_Railway_Bridge,Which architectural style,
309,106.0,El_Ferdan_Railway_Bridge,What original name,
310,106.0,El_Ferdan_Railway_Bridge,What primary material,
311,106.0,El_Ferdan_Railway_Bridge,What purpose served,
312,107.0,Qasr_Qarun,What Cultural Category does the object in the image belong to,Famous Landmarks
313,107.0,Qasr_Qarun,Where exactly located,
314,107.0,Qasr_Qarun,When established,
315,107.0,Qasr_Qarun,Who built it,
316,107.0,Qasr_Qarun,Which ruler commissioned,
317,107.0,Qasr_Qarun,Which architectural style,
318,107.0,Qasr_Qarun,What original name,
319,107.0,Qasr_Qarun,What primary material,
320,107.0,Qasr_Qarun,What purpose served,
321,108.0,Kitchener's_Island,What Cultural Category does the object in the image belong to,Natural scenery and Ecosystem
322,108.0,Kitchener's_Island,Which landscape type,
323,108.0,Kitchener's_Island,Which biome present,
324,108.0,Kitchener's_Island,Which region located,
325,108.0,Kitchener's_Island,What season shown,
326,108.0,Kitchener's_Island,Which water body,
327,108.0,Kitchener's_Island,Which mountain range,
328,108.0,Kitchener's_Island,What vegetation type,
329,108.0,Kitchener's_Island,Which wildlife species,
330,108.0,Kitchener's_Island,What protection status,
331,108.0,Kitchener's_Island,Which ecological reserve,
332,109.0,Children's_Civilisation_and_Creativity_Centre,What Cultural Category does the object in the image belong to,Unable to categorize without a Wikipedia summary. Please provide the Wikipedia summary for Children's_Civilisation_and_Creativity_Centre.
333,110.0,Sulayman_Agha_al-Silahdar_Mosque,What Cultural Category does the object in the image belong to,Famous Landmarks
334,110.0,Sulayman_Agha_al-Silahdar_Mosque,Where exactly located,
335,110.0,Sulayman_Agha_al-Silahdar_Mosque,When established,
336,110.0,Sulayman_Agha_al-Silahdar_Mosque,Who built it,
337,110.0,Sulayman_Agha_al-Silahdar_Mosque,Which ruler commissioned,
338,110.0,Sulayman_Agha_al-Silahdar_Mosque,Which architectural style,
339,110.0,Sulayman_Agha_al-Silahdar_Mosque,What original name,
340,110.0,Sulayman_Agha_al-Silahdar_Mosque,What primary material,
341,110.0,Sulayman_Agha_al-Silahdar_Mosque,What purpose served,
342,111.0,Temple_of_Hibis,What Cultural Category does the object in the image belong to,Famous Landmarks
343,111.0,Temple_of_Hibis,Where exactly located,
344,111.0,Temple_of_Hibis,When established,
345,111.0,Temple_of_Hibis,Who built it,
346,111.0,Temple_of_Hibis,Which ruler commissioned,
347,111.0,Temple_of_Hibis,Which architectural style,
348,111.0,Temple_of_Hibis,What original name,
349,111.0,Temple_of_Hibis,What primary material,
350,111.0,Temple_of_Hibis,What purpose served,
351,112.0,Valley_of_the_Golden_Mummies,What Cultural Category does the object in the image belong to,Historical Artifacts
352,112.0,Valley_of_the_Golden_Mummies,What object type,
353,112.0,Valley_of_the_Golden_Mummies,Which era dates,
354,112.0,Valley_of_the_Golden_Mummies,Which civilization made,
355,112.0,Valley_of_the_Golden_Mummies,What material crafted,
356,112.0,Valley_of_the_Golden_Mummies,Which purpose served,
357,112.0,Valley_of_the_Golden_Mummies,What inscription reads,
358,112.0,Valley_of_the_Golden_Mummies,What decorative motif,
359,112.0,Valley_of_the_Golden_Mummies,Which museum houses,
360,112.0,Valley_of_the_Golden_Mummies,When discovered,
361,112.0,Valley_of_the_Golden_Mummies,What condition status,
362,113.0,Giza_Zoo,What Cultural Category does the object in the image belong to,Famous Landmarks
363,113.0,Giza_Zoo,Where exactly located,
364,113.0,Giza_Zoo,When established,
365,113.0,Giza_Zoo,Who built it,
366,113.0,Giza_Zoo,Which ruler commissioned,
367,113.0,Giza_Zoo,Which architectural style,
368,113.0,Giza_Zoo,What original name,
369,113.0,Giza_Zoo,What primary material,
370,113.0,Giza_Zoo,What purpose served,
371,114.0,Bibliotheca_Alexandrina,What Cultural Category does the object in the image belong to,Famous Landmarks
372,114.0,Bibliotheca_Alexandrina,Where exactly located,
373,114.0,Bibliotheca_Alexandrina,When established,
374,114.0,Bibliotheca_Alexandrina,Who built it,
375,114.0,Bibliotheca_Alexandrina,Which ruler commissioned,
376,114.0,Bibliotheca_Alexandrina,Which architectural style,
377,114.0,Bibliotheca_Alexandrina,What original name,
378,114.0,Bibliotheca_Alexandrina,What primary material,
379,114.0,Bibliotheca_Alexandrina,What purpose served,
380,115.0,Unfinished_obelisk_in_Aswan,What Cultural Category does the object in the image belong to,Famous Landmarks
381,115.0,Unfinished_obelisk_in_Aswan,Where exactly located,
382,115.0,Unfinished_obelisk_in_Aswan,When established,
383,115.0,Unfinished_obelisk_in_Aswan,Who built it,
384,115.0,Unfinished_obelisk_in_Aswan,Which ruler commissioned,
385,115.0,Unfinished_obelisk_in_Aswan,Which architectural style,
386,115.0,Unfinished_obelisk_in_Aswan,What original name,
387,115.0,Unfinished_obelisk_in_Aswan,What primary material,
388,115.0,Unfinished_obelisk_in_Aswan,What purpose served,
389,116.0,Sabil_of_Abd_al-Rahman_Katkhuda,What Cultural Category does the object in the image belong to,Famous Landmarks
390,116.0,Sabil_of_Abd_al-Rahman_Katkhuda,Where exactly located,
391,116.0,Sabil_of_Abd_al-Rahman_Katkhuda,When established,
392,116.0,Sabil_of_Abd_al-Rahman_Katkhuda,Who built it,
393,116.0,Sabil_of_Abd_al-Rahman_Katkhuda,Which ruler commissioned,
394,116.0,Sabil_of_Abd_al-Rahman_Katkhuda,Which architectural style,
395,116.0,Sabil_of_Abd_al-Rahman_Katkhuda,What original name,
396,116.0,Sabil_of_Abd_al-Rahman_Katkhuda,What primary material,
397,116.0,Sabil_of_Abd_al-Rahman_Katkhuda,What purpose served,
398,117.0,Agiba_beach,What Cultural Category does the object in the image belong to,"I am sorry, I cannot categorize Agiba_beach as I lack the provided Wikipedia summary. Please provide the summary to get the categorization."
399,118.0,Gebel_el-Silsila,What Cultural Category does the object in the image belong to,Famous Landmarks
400,118.0,Gebel_el-Silsila,Where exactly located,
401,118.0,Gebel_el-Silsila,When established,
402,118.0,Gebel_el-Silsila,Who built it,
403,118.0,Gebel_el-Silsila,Which ruler commissioned,
404,118.0,Gebel_el-Silsila,Which architectural style,
405,118.0,Gebel_el-Silsila,What original name,
406,118.0,Gebel_el-Silsila,What primary material,
407,118.0,Gebel_el-Silsila,What purpose served,
408,119.0,Muizz_Street,What Cultural Category does the object in the image belong to,Famous Landmarks
409,119.0,Muizz_Street,Where exactly located,
410,119.0,Muizz_Street,When established,
411,119.0,Muizz_Street,Who built it,
412,119.0,Muizz_Street,Which ruler commissioned,
413,119.0,Muizz_Street,Which architectural style,
414,119.0,Muizz_Street,What original name,
415,119.0,Muizz_Street,What primary material,
416,119.0,Muizz_Street,What purpose served,
417,120.0,Monastery_of_Saint_Bishoy,What Cultural Category does the object in the image belong to,Religion and belief
418,120.0,Monastery_of_Saint_Bishoy,Which religion represented,
419,120.0,Monastery_of_Saint_Bishoy,Which deity worshipped,
420,120.0,Monastery_of_Saint_Bishoy,What ritual performed,
421,120.0,Monastery_of_Saint_Bishoy,Which ceremony type,
422,120.0,Monastery_of_Saint_Bishoy,What offering present,
423,120.0,Monastery_of_Saint_Bishoy,Which religious symbol,
424,120.0,Monastery_of_Saint_Bishoy,What scripture shown,
425,120.0,Monastery_of_Saint_Bishoy,Which holy place,
426,120.0,Monastery_of_Saint_Bishoy,What architectural style,
427,120.0,Monastery_of_Saint_Bishoy,Which festival shown,
428,121.0,Osireion,What Cultural Category does the object in the image belong to,Famous Landmarks
429,121.0,Osireion,Where exactly located,
430,121.0,Osireion,When established,
431,121.0,Osireion,Who built it,
432,121.0,Osireion,Which ruler commissioned,
433,121.0,Osireion,Which architectural style,
434,121.0,Osireion,What original name,
435,121.0,Osireion,What primary material,
436,121.0,Osireion,What purpose served,
437,122.0,Pyramid_of_Khafra,What Cultural Category does the object in the image belong to,Famous Landmarks
438,122.0,Pyramid_of_Khafra,Where exactly located,
439,122.0,Pyramid_of_Khafra,When established,
440,122.0,Pyramid_of_Khafra,Who built it,
441,122.0,Pyramid_of_Khafra,Which ruler commissioned,
442,122.0,Pyramid_of_Khafra,Which architectural style,
443,122.0,Pyramid_of_Khafra,What original name,
444,122.0,Pyramid_of_Khafra,What primary material,
445,122.0,Pyramid_of_Khafra,What purpose served,
446,123.0,Soma_Bay,What Cultural Category does the object in the image belong to,Natural scenery and Ecosystem
447,123.0,Soma_Bay,Which landscape type,
448,123.0,Soma_Bay,Which biome present,
449,123.0,Soma_Bay,Which region located,
450,123.0,Soma_Bay,What season shown,
451,123.0,Soma_Bay,Which water body,
452,123.0,Soma_Bay,Which mountain range,
453,123.0,Soma_Bay,What vegetation type,
454,123.0,Soma_Bay,Which wildlife species,
455,123.0,Soma_Bay,What protection status,
456,123.0,Soma_Bay,Which ecological reserve,
457,124.0,Madrasah_of_Sarghatmish,What Cultural Category does the object in the image belong to,Famous Landmarks
458,124.0,Madrasah_of_Sarghatmish,Where exactly located,
459,124.0,Madrasah_of_Sarghatmish,When established,
460,124.0,Madrasah_of_Sarghatmish,Who built it,
461,124.0,Madrasah_of_Sarghatmish,Which ruler commissioned,
462,124.0,Madrasah_of_Sarghatmish,Which architectural style,
463,124.0,Madrasah_of_Sarghatmish,What original name,
464,124.0,Madrasah_of_Sarghatmish,What primary material,
465,124.0,Madrasah_of_Sarghatmish,What purpose served,
466,125.0,Corniche_(Alexandria),What Cultural Category does the object in the image belong to,Famous Landmarks
467,125.0,Corniche_(Alexandria),Where exactly located,
468,125.0,Corniche_(Alexandria),When established,
469,125.0,Corniche_(Alexandria),Who built it,
470,125.0,Corniche_(Alexandria),Which ruler commissioned,
471,125.0,Corniche_(Alexandria),Which architectural style,
472,125.0,Corniche_(Alexandria),What original name,
473,125.0,Corniche_(Alexandria),What primary material,
474,125.0,Corniche_(Alexandria),What purpose served,
475,126.0,"St._Catherine's_Cathedral,_Alexandria",What Cultural Category does the object in the image belong to,Religion and belief
476,126.0,"St._Catherine's_Cathedral,_Alexandria",Which religion represented,
477,126.0,"St._Catherine's_Cathedral,_Alexandria",Which deity worshipped,
478,126.0,"St._Catherine's_Cathedral,_Alexandria",What ritual performed,
